term,week,day of week,class,time spent (min)
sp24,9,Monday,MATH 257,0.0
sp24,9,Monday,ASTR 210,0.0
sp24,9,Tuesday,STAT 207,0.0
sp24,9,Tuesday,GEOL 107,0.0
sp24,9,Tuesday,ASTR 210,0.0
sp24,9,Tuesday,MATH 257,0.0
sp24,9,Wednesday,MATH 257,0.0
sp24,9,Wednesday,STAT 207,0.0
sp24,9,Wednesday,ASTR 210,0.0
sp24,9,Wednesday,GEOL 107,0.0
sp24,9,Thursday,STAT 207,0.0
sp24,9,Thursday,ASTR 210,0.0
sp24,9,Thursday,GEOL 107,0.0
sp24,9,Thursday,MATH 257,0.0
sp24,9,Friday,STAT 207,0.0
sp24,9,Friday,GEOL 107,0.0
sp24,9,Friday,ASTR 210,0.0
sp24,9,Friday,MATH 257,0.0
sp24,9,Saturday,STAT 207,0.0
sp24,9,Saturday,MATH 257,0.0
sp24,9,Saturday,GEOL 107,0.0
sp24,9,Saturday,ASTR 210,0.0
sp24,9,Sunday,MATH 257,0.0
sp24,9,Sunday,GEOL 107,0.0
sp24,9,Sunday,STAT 207,0.0
sp24,9,Sunday,ANTH 103,0.0
sp24,9,Sunday,ASTR 210,15.0
sp24,10,Monday,MATH 257,75.0
sp24,10,Monday,ANTH 103,45.0
sp24,10,Monday,ASTR 210,0.0
sp24,10,Monday,GEOL 107,90.0
sp24,10,Monday,STAT 207,45.0
sp24,10,Tuesday,MATH 257,0.0
sp24,10,Tuesday,ASTR 210,90.0
sp24,10,Tuesday,GEOL 107,75.0
sp24,10,Tuesday,ANTH 103,90.0
sp24,10,Tuesday,STAT 207,0.0
sp24,10,Wednesday,STAT 207,0.0
sp24,10,Wednesday,ANTH 103,0.0
sp24,10,Wednesday,ASTR 210,30.0
sp24,10,Wednesday,GEOL 107,15.0
sp24,10,Wednesday,MATH 257,150.0
sp24,10,Thursday,ANTH 103,60.0
sp24,10,Thursday,ASTR 210,0.0
sp24,10,Thursday,STAT 207,90.0
sp24,10,Thursday,GEOL 107,0.0
sp24,10,Thursday,MATH 257,45.0
sp24,10,Friday,ASTR 210,45.0
sp24,10,Friday,STAT 207,0.0
sp24,10,Friday,MATH 257,0.0
sp24,10,Friday,ANTH 103,75.0
sp24,10,Friday,GEOL 107,0.0
sp24,10,Saturday,STAT 207,0.0
sp24,10,Saturday,MATH 257,0.0
sp24,10,Saturday,ASTR 210,0.0
sp24,10,Saturday,ANTH 103,0.0
sp24,10,Saturday,GEOL 107,0.0
sp24,10,Sunday,STAT 207,0.0
sp24,10,Sunday,ANTH 103,0.0
sp24,10,Sunday,ASTR 210,0.0
sp24,10,Sunday,MATH 257,0.0
sp24,10,Sunday,GEOL 107,0.0
